,post,response
483,Still talking about yourself sounds like a great idea. Keep doing it.,reinforce
484,"¹) We were never energy independent. We were liquid petrol independent. We're producing more now than under Trump. ²) Inflation has gone down. The pandemic fucked both Biden, and Trump. ³) IDK where you live, but we have amazing prices at the stores here. I just bought a whole months worth of groceries for 3 people for under $300. ⁴) The Afghanistan war was still happening. ⁵) Iran never received a dime from the US. They also never received a dime We had frozen of theirs. ⁶) You mean HAMAS. No money came from us. ⁷) China was an issue in Trump's cabinet as well. ⁸) China is still in check on Taiwan. ⁹)Nothing Trump did for prison ls helped the living conditions of prisoners. ¹⁰) NATO doesn't pay anyone. Each country pays UP TO 2% of their DEFENSE BUDGET to their own country. ¹¹) North Korea was far from quiet. ¹²) The whole world laughs at Trump. ¹³) The Abraham's Accord was the final straw for GAZA. They disenfranchised multiple countries. It was nothing but an arms deal.",reinforce
485,another fake bs lies 🤥,reinforce
486,So is Hunter Biden,reinforce
487,"Actually, it may not be a bad idea for all these idiot kids to serve a short time in the military (conscription). They might learn a little respect, discipline, time management, and appreciation for authority. 15/44 European countries still have it, as well as Israel and others.",reinforce
488,We should only get the real news from this propaganda machine that spews lies and hate all day and night.,reinforce
489,The Fake News cannot STOP what is coming! # PHPnews,reinforce
490,A bitter decorated Marine who failed at his job! He also wrote a book to make MONEY off Trump!,reinforce
491,Is is very rigged! The FBI has so many more high crimes that they won’t even investigate but they tickle us with this bullshit county court case and make it seem epic!! The whole fucking system is rigged!,reinforce
492,Sir. How about. No taxes on Social Security. We have already paid taxes on ever dime ever. Now to paying taxes that was supposed to be set aside for our retirement is double taxation.,reinforce
493,Their demise is good for climate change too-less people on the earth. Everything democrats stand for eliminates people-war-abortion-home invasions-“random” attacks-gun control-etc.,reinforce
494,"The old Dinosaur, birdcage liner Washington Post is referring to lies to try and get more subscribers, but the younger generation don't read paper trash, they go to Social media sights like Truth Social, or TV trusted channels like Newsmax ,OAN, Dr.Phil's new Merit program!",reinforce
495,"If Biden had tried harder, he could have come in last place😇",reinforce
496,The love to brainwash their viewers. I don’t understand why they choose to continue reading or watching their garbage. Even the National Enquirer is more relevant than what they spew. New laws need to come into play against fake news.,reinforce
497,Not fake news:,reinforce
498,The Washington Post like all others fake medias should be punished by our laws Only in communist countries this happens,reinforce
499,Deep state Traitors!,reinforce
500,"Well, I hope Mr. President. When you're back, you fixed these problems. These newspapers need to be held accountable for publishing and telling lies. This cannot go on anymore. This is one thing seriously ruining our country next to the other countless abominations, by the democrats. God speed and god bless",reinforce
501,Is that all you have. That doesn’t make a difference to us Patriots. Most of the previous presidents were draft dodgers. Let that sink in. They hate America so much they have tried everything to destroy it! Let that sink in!,reinforce
502,Yeah the Justice department is all good now that Hunter is found guilty the problem is HE WAS FUCKING GUILTY!!! Wait and see dad will get him off if not Trump said he will Pardon him!! Haaaaa!!,reinforce
503,"Dude, the only person who has been damaging you with respect to voters is you…..",reinforce
504,Beads for the natives.,reinforce
505,ALL of them….yellow belly COWARDS!,reinforce
506,"I agree, not true; but worse, i think you will try to use the military and martial law to stay or get power.",reinforce
507,"Only dumb people would think that. That’s Rishi Sunak’s policy! I know all the right wing rich idiots are hard to tell apart, but there we go. However - notice trump is bringing this up? You know why? Because it neutralizes it with his public. Because if trump got voted in (he won’t) then he WOULD be conscripting an Empire Army to ensure he never leaves. He’d need to to achieve many of the things he’s saying he’d do. Thrown out all the immigrants? And cut taxes? The only way to do that is conscription… And he knows exactly where to find racist fascists who will put on army gear and round up the illegals and brutalize them - because they all come to his rallies! He’s not hiding anything.",reinforce
508,"Asthma, actually, is a very serious disqualifying factor and if he indeed did have asthma as a child, he would be automatically disqualified. Bone spurs? Really? Give me a break!",reinforce
509,Troll with all of 18 followers,reinforce
510,And u are a fucking idiot if you think thats true!.dumb fuck,reinforce
511,They lost so many military personel theyre gonna start mandatory enlisting among 18 yo and up i heard. This is why theyre accusing him of it because its what they are going to do... smh 🤨,reinforce
512,"This was just another lie perpetrated by the Democrat party. Hunter Biden is a pedophile. He was found on his laptop a video of him having anal sex with a 10-year-old girl and her crying don’t talk to me about Donald Trump when you’ve got Hunter Biden, pedophile Joe taking showers with his own daughter, screw off with that crap",reinforce
513,WP is bought by Jeff Bezos. Another idiot globalist,reinforce
514,I personally think that it would be a good idea to have High School Graduates serve 2 years in the Armed Forces before They move forward with their lives. Isreal has been doing it for years and years. Seems to work well for the people.,reinforce
515,Because the facts speak Hunter was straight up guilty Trump was convicted by a bias acting Judge who was blatantly biased against Trump and a jury not of his peers but again bias in NY 90 % democrat huge difference,reinforce
516,"Gawd, the MSM SUCK!!!!",reinforce
517,"No problem, we've got an actual factual fact checker now! # Truth !!!!!! # Trump2924 # TrumpWon",reinforce
518,That’s the best you have… You’re pathetic.,reinforce
519,"Your a joke right? If not then your a Nazi, as those who support the Nazi Biden regime are as biden is! You support child sniffing (we hope all that is), incompetent traitor takingbaths with children family members biden.",reinforce
520,Proof of a two tiered justice system !!!!,reinforce
521,These are the ones who should be on trial. Not Trump.,reinforce
522,Make It illegal for our government and press to use propaganda on the American people again.,reinforce
523,SCOTUS Judges are being secretly recorded to include their wives. The left is trying to destroy the Supreme Court for nefarious purposes. Mr. President I trust your not counting on the Secret Service to watch your back. I believe their dirty compromised and weaponized.,reinforce
524,More like treason,reinforce
525,waaaaaaaah. Such a whiny little thin skinned bitch.,reinforce
526,Washington compost that's hilarious 😂😂😂😂,reinforce
527,"Joe Biden’s only son left, Hunter Biden was found guilty on all counts of the INDICTMENT in FEDERAL COURT where there are concrete laws in place for weapons charges and lying/falsifying documents to purchase a weapon. Hunter will receive a light fine and will be sentenced to time already served with crack whores and prostitutes.",reinforce
528,What the hell are you talking about? ￼,reinforce
529,I'd tell you to suck my dick. But your disgusting ass would probably enjoy it.,reinforce
530,"We tired of sending our kids to go fight in some foreign country. Keep them here at home and let our military secure are borders. We got foreign insurgents inside the country right now. They ain’t immigrants, it’s a damn invasion. We’ll be fighting the next war right here at home. Wake up America",reinforce
531,That's what the demoncrats are planning if they are accusing Trump of it. They have been very consistent in doing that. They have a pretty predictable play book in that sense.,reinforce
532,So many of you democrats haven't served your country so what's the big deal. At least Trump supports are troops and Biden stands there looking at his watch while the unloaded the bodies from Afghanistan and tried to make it all about himself and his family saying his son died there too,reinforce
533,President Trump will get rid of all of the woke Deep State military personnel. Loyal people will volunteer to serve President Trump as part of His martial law mission.,reinforce
534,Now he pleads guilty in California tax court after David Weiss let statute of limitations expire on the Ukraine years then no trials or use of the laptop all disappear daddy pardons son all good no accountability,reinforce
535,Because it was all true unlike the bullshit they are attacking Trump for,reinforce
536,"I’m glad you didn’t serve either. I can’t imagine being trapped on deployment with someone spouting your bullshit. No problem with folks who don’t serve, but I would not call the Taliban, Al Qaida or ISIS “innocent people.” You have been kept free all these years by men and women far better than yourself.",reinforce
537,"Start telling lies about the left and then take it back. The point these people are making gets out there and does damage. When and if they retract the story, some people dont hear that. Lets do to them what they do to us. We are goody two shoes.",reinforce
538,"the democRATs would reinstate the draft guaranteed if there was to be one, they need souls to kill for their amoral wars!",reinforce
539,"Voluntery force will get the best candidates. Can you imagine if our Armed Services forced the likes of antifa, protester defacing public and private properties, those that hate America into service? Trump realizes what a clusterf*** that would result in. WP is complete BS.",reinforce
540,"Define "" you people""",reinforce
541,"I feel great all the time; happiness comes from within. You’re an angry, scared, little titty baby.",reinforce
542,"I totally believe it.. They are more concerned with getting the TRANNIES into the military and getting them surgeries, than they care about the SERIOUS issues our Veterans are having with PTSD and suffer from..",reinforce
543,"That's nonsense. The reality: The Democratic Party is dumping the Biden's for 2024, because of too much embarrassment, while the Bidens will get off with Joe pardoning his own adult child crack addict son. Much credit to the Wilmington judge, but hell for the extremely corrupt NYC judge and DA office.",reinforce
544,Start paying attention.,reinforce
545,🖕commie 🤡.,reinforce
546,The LEFTIST FAKE NEWS CLOWNS are COMPLETELY SHAMELESS!!! Do they EVER do anything EXCEPT LIE??? What a MISERABLE CROWD!,reinforce
547,"Well, since you wiffle waffle and you say one day, you’re gonna do something horrible then the next day no no I didn’t mean it. We don’t believe a fucking thing you say. ￼",reinforce
548,It really is not a bad idea.,reinforce
549,I think it’s time to hold liars accountable for spreading lies and misinformation! How are any citizens able to make common sense choices with so much bull shit being shoved down their throats.,reinforce
550,"What's your point? Cover up is working so far,? One was a witch hunt and the other quite visibly one of another dimension for purposes yet to be unveiled! Stay tuned for the words you just spoke to be ingested on Nov 5. Feel the love?",reinforce
551,These people need to stop offending our intelligence. Trump2024!,reinforce
552,"Plus, tRump fought his own Vietnam War trying to avoid STDs in the 60s and 70s. He’s a war hero too, right?",reinforce
553,Can you just shut up for once!,reinforce
554,"Actually, I like the idea.",reinforce
555,Let em fall like dominoes,reinforce
556,How do you mess up the second you’re lol You have Trump’s mugshot on your profile pic - how cringey,reinforce
557,@ NightTrain767 you have a good point!,reinforce
558,F KING Liars! What we need to do is have laws for media to be accountable for reporting truth. Just like lawyers they should be license and fined and then media license revoked if they break laws.,reinforce
559,We havent heard the punishment yet.,reinforce
560,And I guess even losers like you can figure out a way to more grossly disrespect our flag than Kaepernick did.,reinforce
561,😄 Washington compost. Now that’s hilarious.,reinforce
562,"Americans would be proud to serve in our military under you, Mr President. That wouldn’t even need to be forced which you wouldn’t do anyway. 🇺🇸🇺🇸🇺🇸",reinforce
563,"But Mr president Im not against a mandatory government service. To get to vote have kids get right.. Our founders never imagined a country without god, of the out right greed on all levels Of society.",reinforce
564,"Democrats are the ones who want a draft. They fight against recruiting volunteers. They pushed mandates on troops, and sensitivity training for decades. Throwing volunteers out of the service for not accepting the crimes-against-humanity jabs did damage in loss of corporate knowledge. Informed consent without coercion is part of the Nuremberg Code that doesn't need to be a treaty. Some Democrats wanted the United States to withdraw from the Nuremberg Code.",reinforce
565,The new York slimes!!,reinforce
566,"Washington Post🤮is so fake🤮‼️ Nothing but the ""facts"" please‼️ America is sick of fake news🤮‼️",reinforce
567,Get back in your basket you deplorable POS. Tell Trump not to drop the soap in prison.,reinforce
568,"This coming from “WAPoop” after the new “Head of WAPoop”, told them all to their faces, “No One Reads Your Poop/Shi$/Stuff anymore…priceless!",reinforce
569,Pay per view that shit and we won’t have this problem for another 200 years.,reinforce
570,"You sound desperate, Donald.",reinforce
571,I’ve never ever heard Trump say any such thing…..,reinforce
572,Happy Father’s Day 😊,reinforce
573,RIP Seth and poor man living in Alabama another Jo weapon on scene suicide,shift
574,"The left can only win on lies and deception. They do this every election cycle. They can’t run on accomplishments, because they don’t have any.",reinforce
575,"Washington Post, world’s worst!!!",reinforce
576,"This is strange coming from a liberal like me, but reinstating a real draft would be good for the country. We lost in Afghanistan in large part because the American people did not and were not asked to have a stake in the war. Reinstating a real draft would give almost every American a stake in any decision to go to war and a real interest in how that war would be prosecuted.",reinforce
577,Definitely paid off by a bigger entity .,reinforce
578,"We now realize how the unchecked mainstream media was able to form false narratives for so many years. One can only imagine how bad it would be if We The People were unable to circumvent their lies through uncensored social media platforms such as TRUTH Social. Thank you! You gave us a voice, Sir! WE ARE THE NEWS NOW!!! 🙏🇺🇸✨",reinforce
579,Sue them for defamation!,reinforce
580,It does seem ridiculous since you faked bone spurs to get out of the draft 5 times.,reinforce
581,There’s a Red Pill for every condition. It’s coming ….,reinforce
582,J6 was a Koooooo,reinforce
583,# SOULdiers UNITE!!!! What A GREAT PROPOSAL!!!!! # W3THEUNIFIEDPEOPLESOFTHEWORLD,reinforce
584,Freedom of the press should be Shut the hell down..they abuse that freedom. ALL LEFT wing should be held accountable for their abuse.,reinforce
585,I dont think you understand what i am saying. My dad was in the Navy and he knew he killed people that may have been innocent for a lie. I love our military. You apparently cant comprehend my words.,reinforce
586,A draft dodger like you should never be able to run for president let alone have the nuclear codes. # trumptrash .,reinforce
587,"You take snipets out on context. His actions speak louder than words. What president ever donated his paycheck to vets and other causes. John McCain was a traitor to his country and endangered so many lives. Not everyone is called to be a soldier, I had two sons in military and I thank God they made it home. I know many didn’t. My grandfather was in battle of bulge at 17 as a scout at first, got a Purple Heart and many other medals. A dent in the Bible that protected his heart. He sees in Trump what you don’t. He was honored to place a wreath at tomb of unknown solider. He is my hero and is thankful to God for his life.",reinforce
588,Gaaawd fake news creeps,reinforce
589,So? How far back does your family's military extend? I bet not as far as mine and I'm voting for Trump. How much military experience does Biden have? Bill Clinton? Obama?...,reinforce
590,"Yeah, you’re right and we wouldn’t have to listen to your retarded posting with retarded, racism, retarded, bigotry retarded, lying to us and why are you calling yourself a communist",reinforce
591,WHAT OLD MAN YOUR A WASTE OF LIFE,reinforce
592,Then the big guy should be charged soon,reinforce
593,Washington Compost! LOL!😂,reinforce
594,They lie every day! Maddow says she is afraid you will put people into camps! How do they come up with this BS - total lies! But the fake news thrives on this pure crap! @ CNN_US @ MSNBC_NEWS @ abcnews @ CBSnews,reinforce
595,Evil Washington Post. At one time they would verify their stories before publishing them. Not factual anymore.,reinforce
596,🙄 Crazy how people still watch the Fake News.,reinforce
597,Why would the dumbacrats scream witch hunt when they are on the same team.,reinforce
598,It seems to me that these fake news agencies need to get a really big lawsuit for publishing absolute lies!,reinforce
599,You’re clueless as it gets. 🫵😂,reinforce
600,He's guilty of a lot more!,reinforce
601,Lies inside and out,reinforce
602,Four pinnochios for the failing WaPo,reinforce
603,"Bullshit , just stay tuned to the repercussions ! Joe will not let this stand . Are you shitting Me ? Heads up lefturd , after the Sept trial on taxes , then Biden will pardon all of the convictions ! Just Waite and see !",reinforce
604,I hope someone sue this S. O B. Washington compost. This is intervention in our election.,reinforce
605,"If a liberal says something, the Truth is the opposite of what comes out of their mouths. Makes it real easy to discern the Truth. Pray",reinforce
606,Put recruitment vans at the border and see what happens... Now that's a pathway to citizenship...,reinforce
607,You were too busy thinking about that boat battery and the shark and how to spell ‘us’.,shift
608,May God bless each and every one of our precious veterans. And the O’Biden fake administration couldn’t give a rat’s ass about any of them. But Trump will help them like he did before. 🇺🇸🇺🇸🇺🇸🇺🇸,reinforce
609,# FakeNews doing 🤡 🌍 things. No big surprise here. # Trump2024 or bust 💯🇺🇸❤️,reinforce
610,It just never ends. I don’t know how he does it. See you soon Mr president. We have work to do,reinforce
611,That’s because it’s a distraction from the rest of the crimes involving the whole Biden family.,reinforce
612,You also lie. Ready for Shark week you scumbag?,reinforce
613,Their Desperate keep on keeping on Don 🇺🇸🇺🇸,reinforce
614,😆😆😆Washington Compost!!!!,reinforce
615,"lol it’s actually Texas republicans bussing them all over the country, sorry dumbass",reinforce
616,SHUT THE HELL UP YOU PIECE OF SHIT CONVICTED FELON,reinforce
617,NEW MAGA MERCH AVAILABLE NOW,reinforce
618,Killing terrorists is not genocide. Trump 2024 !,reinforce
619,LET’S JUST SEE HOW SHE SMIRKS @ THIS DESTINATION….!!! 👇☠️🔥🔥🔥☠️👇,reinforce
620,Who are the 50%? Lol,reinforce
621,"You know Donald, I believe you on this one, I don't think you'd say anything about mandatory military assignment, until after you get elected, not before.",reinforce
622,It is sad that trump has fooled folks like you into somehow thinking he cares about anything other than himself.,reinforce
623,He has proved it every day since!!!!,reinforce
624,Who cares...what does that have to do with anything,reinforce
625,Ironically the MSNBC political hack that showed these clips made the same error on a word that she was making fun of Trump for… you can’t make this stuff up 😂🤣😂,reinforce
626,😃❤️👍🇺🇸😊🤩👏❤️❤️,reinforce
627,Yes it is a lie!!!,reinforce
628,Liberals use Fake News to get their information... We laugh them Many Patriots use Rabbit Holes to get their information... They laugh at us God has been. Saying.... Trust me.. I. Am The Truth ‼️,reinforce
629,Please don’t debate Biden on CNN. It’s all a complete set up and I wouldn’t trust that media organization if they were telling the truth.,reinforce
630,Fuck em. They're always going to try and bring down those who are actually on the RIGHT,reinforce
631,They are desperate. They have no idea how to stop Trump…..,reinforce
632,"Actually, the Democrats have come out saying they want a mandatory draft!!!!! Crazy, evil party needs to be abolished now!!!!",reinforce
633,I just saw one of your other post. You ask who is a liar anfmd gullible. Lady look in a mirror.,reinforce
634,"Actually, not a bad idea for some of these libtards kids who need their parents to go to job interviews with them. If something doesn’t change their sac’s are going to dry up.",reinforce
635,I smell a large lawsuit brewing.,reinforce
636,Everyone just relax and enjoy your life!,shift
637,Democrat logic: The President who promoted peace more than any other President in history will bring back the draft to fight in no wars. 🤪,reinforce
638,🤥🤯🤥🤯🤥🤯🤥,reinforce
639,"They no longer are reporting or reporters . THEY ARE "" SABOTEURS "" . ⚠️ 🤌 STUNADS is more like it",reinforce
640,And he should… we need mandatory service.,reinforce
641,Welcome to our Biden world,reinforce
642,"I think, like many other countries, there should be a two year service requirement. The youth of today are severely misguided and in need of some sort of structure.",reinforce
643,"A president that would incite an insurrection, because he was angry he lost a free and fair election, would most certainly call for a mandatory military. It’s likely trump would use the military like a dick-ta-tor to go after his political adversaries and to flaunt his supposed power to his fellow dick-ta-tor lovers.",reinforce
644,🇺🇸♥️🇺🇸♥️🇺🇸♥️🇺🇸🙏🏼Bless our Vets♥️🇺🇸,reinforce
645,"Did you fucking read it, dipshit? Go to hell or jail or wherever. You’re poison to our democracy.",reinforce
646,Is there a day when you can live with yourself being a dumbass?,reinforce
647,"...and just like a good little liberal minion you spew the Democrat talking points. Hate to ruin it for you, but here's some food for thought. Your over looking the extremely serious tax charges and FARA violations our DOJ intentionally let expire...so no charges. Or the sweet deal our DOJ tried to slip through that the judge blew up. Or the appointment of David Weiss as special counsel by Merrick Garland bypassing Congress. ...but, by all means keep drinking the Kool aid.",reinforce
648,Can’t wait to meet and greet you and the rest of the mAgAnAzImOrOnS.,reinforce
649,"If you’re making such a big deal about this, then we know that it’s true. You always try to deflect attention away from what you and your family are really doing.",reinforce
650,So him saying he would rather be eaten by a shark than be electrocuted by a sinking electric boat is mumbling garbage?? What would you rather do?… I guess yall going down with the flaming crap you voted for.,reinforce
651,Biden Crime Family convicted felon! Now we go for the big guy,reinforce
652,Sue the Washington Compost Jeff Bezos for printing such rubbish. 🔚,reinforce
653,"Communists proving they are communist. Accusers of the brethren, i'm sure that's next on their agenda to depopulate America and replace US with low income workers.",reinforce
654,Petty conviction? 3 felonies? Up to 25 years in prison? Are you impaired?,reinforce
655,"Because hunter is guilty, Trump is not!",reinforce
656,Trump never said that,reinforce
657,He probably had better luck with your mother last night ..,reinforce
658,Your comment of alleviating the burden of caring for our vets reminds me of one of the tactics that the Nazis used to accumulate money to start WWII.,shift
659,Hope someone Shanks that dirty Nog....,reinforce
660,You damaged yourself fatty,reinforce
661,Democrats lying,reinforce
662,When you deny it has to be true you lying cunt,reinforce
663,Loser!!!! 🤣🤣,reinforce
664,Judgement from an idiot liberal,reinforce
665,"But you were triggered enough to respond, weren't you, little bitch? And so now Soros will pay me. If you're so triggered by my hurtful words that you block me, then Soros will pay me twice as much. LMFAO!!! 🤣🤣🤣🤣🤣🤣",reinforce
666,The last piece of shit called the news fake was Nixon and Hitler before that!,reinforce
667,"Give them time they will am sure they are in shock that they thought that Delaware citizens would never go against a Biden. Old Joe has now realized he an his family aren’t as important as they think. Besides the creepy media are doing the defense for the family He will pardon his son Clinton said I will not pardon my brother but he did before leaving office , liberal leftist are all talk He is a corrupt felon",reinforce
668,And treason with pedo joe,reinforce
669,What are you???,reinforce
670,With this being said it’s more than likely what the Biden administration plans on doing either before the election or after he will implement it and all these middle-age young invaders will be called up for service and duty. They are telling you exactly what they’re going to do but blame it on Donald Trump. ￼,reinforce
671,DON'T WORRY MR. PRESIDENT. AMERICANS DON'T BELEIVE THE LEFTS BS ANY MORE. WE WANT YOU!!!!!!!!,reinforce
672,"Still, it don't sound like that bad of an idea, military school with top notch educators then, 4 years of mandatory military service. it would do the youth & our country very well. it would have to be the old style US military though, No woke Bill shit! ✝️🇺🇸🍓👑⚡",reinforce
673,Only if its your MILITARY LOL,reinforce
674,Please find it & share it!!! @ realDonaldTrump 🌹Wishing you a beautiful birthday!🎂🌹❤️💯 Thank you for your true leadership & guiding us to better future🙏🙏🙏 TRUMP & CARSON 2024🇺🇸🇯🇵🤟❤️💯 @ RealBenCarson Japanese for TRUMP🇯🇵🇯🇵🇯🇵,reinforce
675,MAGA—vote Trump 2024,reinforce
676,"Totally agree. Maybe that would help people think clearly and carefully about who to vote for. It would also add some discipline to people - (it probably would have made me a better person, as well).",reinforce
677,"We were talking about conflict with Russia. Don’t change the topic. Correction: Finland is not a former USSR country. Ukraine and Georgia were. Putin is upset with Finland for joining NATO. That’s why Putin put troops on their border. You are claiming that Putin has a nuclear submarine off our coast. I thought you MAGA morons think Putin is a great guy. I thought you MAGA morons would rather be Russians than share power with Democrats. Maybe, MAGA should reconsider their position on Putin/Russia. Don’t you think so?",shift
678,The democrats do hate the military it would make sense the way they think,reinforce
679,You fuckin orange piece of shit! How convenient for you that when accurate news is reported you call it “fake?” You just cannot accept the truth because you live in an alternate universe where you are always right. Instead of being always right you are always a liar and a CONVICTED FELON!,reinforce
680,They just wont quit making up crap to make you look bad. Its terrible!!!!,reinforce
681,"Obama cut out help for mental health. It's almost impossible to get help for family who's having mental health issues and this doesn't surprise me they don't care about our military or about people in general. Try getting a dentist if you have Medicare or Medicaid. Now doctors are refusing to take it in upper Michigan. We have no dentist in our county for over a year. If you have no insurance you can't get medication or help for mental health. I'm worried about my son but he has no insurance. He works full-time and has no healthcare. I hope this changes. Anyone who served in the military, injured or suffering mental health issues should have help. They should be taken care for life. After all they are willing to give up theirs to defend their country.",shift
682,"Mr President: just as you dispute this lie, do NOT permit the left to paint you as dictator and threat to democracy - they are the threat to democracy. Speak up!",reinforce
683,For the debate: DJT to Biden; I’ll take a drug test right now to prove I’m not on some performance enhancing drug and I challenge you to do the same!,reinforce
684,"This won’t work either! People are waking up, Mr President!! It’s taken a long time but they now see for themselves what we’ve been saying! The left is just plain evil!!!!!! ❤️🇺🇸❤️🇺🇸❤️🇺🇸",reinforce
685,Every one of them should lose their security clearances!,reinforce
686,Except in Instagram. It’s definitely about the likes to become an influencer for money,reinforce
687,"I agree it was the corrupt media. But I hope when you take office and get DEI out of our military the number’s will go up in our recruitment. I’ve seen the draft, but it was for a reason. The reason now is Biden and his policies.",reinforce
688,"Might not be a bad idea to at least required mandatory boot camp for every 18 year old. Enlist after that, get a sign up bonus. Go to college, get a small military scholarship. Would straighten a lot of these kids right out.",reinforce
689,They’re so desperate you can see how low they’ll go and they’re not done before they’re all arrested and we have our military tribunal after Trump is reelected. They will do the ungodly.,reinforce
690,"Time to start envoking a more presidential “Reagan-esque” demeanor and speech response. The world has seen what has happened to you- it is time to transition into the Leadership candidate- positive, solutions driven, factual. Continue to walk in your truth. You still have the greatest superpower at your disposal… which is God! Lead our nation to repentance and return us to God and Bible as our moral compass.",reinforce
691,Washington posts has become an article of no commercial value,reinforce
692,Theses people are sick and there fake crap needs to stop. Just stop reading or buying there crap,reinforce
693,"Of course that's made up, because they don't list the exclusion of anyone named trump!",reinforce
694,Oh no! Praise God she didn’t succeed! Prayers for your daughter and please thank her for me for her service 🇺🇸🇺🇸🇺🇸,reinforce
695,Really. Hunter has been screaming that for over a year and while his is not true trumps is,reinforce
696,Yet you believe he actually cares about you?,reinforce
697,Now ask him about china,reinforce
698,"I’m not your sweetie, you loony, motherfucker! you need to stop watching videos.",reinforce
699,"All Trump has to do to drastically IMPROVE numbers is remove Covid vax, CRT, DEI and gender confusion leaders. Making you abilities, knowledge and experience the priority for promotion and leadership.",reinforce
700,Making the old National Enquirer seem more and more legitimate everyday,reinforce
701,Milwaukee is a terrible city. Wow.,shift
702,Washington compost for sure!😂😂😂 @ WashingtonPost,reinforce
703,He should be in prison for crimes against our country. Ill bet money his sentence is light.,reinforce
704,Do you really not understand the difference between bail and a fine?,shift
705,"Everybody should know you wouldn't force rich people to join the military, based on past precedent.",reinforce
706,The Washington “Compost”…a great analogy!,reinforce
707,AGREE!! 💯💯💯💯💯💯💯💯😡,reinforce
708,I would be glad to step up personally when the time comes to take down the cabal and I have no sympathy for those that treat innocent children as livestock for organ harvesting adrenochrome production and as sex slaves!,reinforce
709,"The parents should make sure ""personal justice"" is carried out.",reinforce
710,BULLSHIT ￼,reinforce
711,Liberals = liars and they will do anything to keep power.,reinforce
712,Actually it’s not a bad idea. If a person wants to sponge off the Government then let them do it after serving an enlistment first then they will deserve it.,reinforce
713,You really need to seek help. You haven’t a clue of what you speak. There are people who will help you with TDS.,reinforce
714,LOL referring to yourself in the third person 😂. AND forcing TS accounts to ❤️ your bullshit posts. Every the illusionist.,reinforce
715,"I can promise you, the way you run your Military, you’ll have the strongest volunteer services like we had before.",reinforce
716,Wasn't talking about you.,reinforce
717,lol. I was on a ‘mute’ ‘block’ roll of the trolls and accidentally did it to you because I didn’t read your post properly. 😂😂😂😂 I undid it. I agree either way you completely.,reinforce
718,A family reunion of Karl Marx communist democrats,reinforce
719,Everyone knows the left lies. They are Nazis now. There is very little Patriotism left in the left. Sad.,reinforce
720,You are completely a moron!!!,reinforce
721,"If anyone believes democrat stories. I got a bridge to sell you. Geez, smh",reinforce
722,"I personally hope they use her/it as a trampoline, day in and day out. What a racist, sickness created by demnuts. 🇺🇸🦅",reinforce
723,"Well we know who wants war and why…..good cover up for all the Corruption that his been going on! The War Warmongers are the DS who control the Resident in The White House to push for War! WWlll. They will have to have a Mandatory Draft. That they will put in place if they Elect a left wing Radical DS puppet again count on it! Don’t think our land will be spared this time. It will be on here as well. For the UN to call for Ukraine to be part of the UN is like sticking a finger right in Putins eye, and for the Resident to give permission to Ukraine to launch missiles in Russia for what??? One thing only to start a Worldwide War !!!!Russia is only there to rid the NAZI’s who are really running that Corrupt Country. President Trump talks peace ✌️ not Pushing WAR!! Remember this Dems in November “PEACE” Out!! 🇺🇸🇺🇸🇺🇸",reinforce
724,The Washington Post has not published any article stating that Donald Trump will bring back mandatory military service. Recent reports focus on potential uses of the Insurrection Act to address protests if Trump wins the 2024 election. The claim that the Washington Post stated Trump will reintroduce mandatory military service is not supported by available evidence​,challenge
725,"Indeed , don’t drop your soap in the communal shower",reinforce
726,Jeff Bezos trying to buy votes,reinforce
727,Flip that narrative. All military ages ILLEGALS have a choice. Front line or DEPORT.,reinforce
728,I also said your wife & sister were the same person. Do you always take everything at face value? You're just another CNN/MSDNC parrot. In order for you to converse in a highly intelligent conversattion you must have at least some intelligence which I can tell you do not possess. You are at best... mediocre. Im done with you. <you are blocked>,reinforce
729,Wow the news media is so corrupt and jealous,reinforce
730,All you have to do is read project 2025 from the beginning to the end. Never mind he loves the uneducated.,reinforce
731,"We know he did the crime but will he do the time? Will he even be sentenced to time and if so, will Daddy pardon him? We shall see……..",reinforce
732,He won’t get any time!!,reinforce
733,"You pathetic vulgar clown, your words only validate how ignorant your cult is. You support a sexual abuser convicted felon pathological lying narcissistic dictator wannabe, his father was arrested in a KKK rally,who are you calling a nazi?? Stop twisting the truth you idiot just because it suits you.",reinforce
734,you don't need any help damaging yourself. you're an idiot outside of the bubble of your traveling fascist circus events and highly edited interviews. sunday proved just that.,reinforce
735,"Thanks to the Left's influence, in the schools and in the media, there are so many misguided individuals out there that mandatory military service would be a disaster.",reinforce
736,Now the ‘CONCICTED FELON’ will appeal the judgement,reinforce
737,Sue the bastards,reinforce
738,That’s because he will not serve a day and we all no it. Come on people don’t be so stupid or think that we are.,reinforce
739,These news media are a bunch of liars.,reinforce
740,"No, not debunked. And Kelly is a Gold Star father.",reinforce
741,America should have mandatory military service. It’s the only way to teach liberal scumbag 20 year olds to have respect for themselves and their country and flag. Show them how to use a gun so they don’t have a ridiculous fear of them and maybe they’ll finally understand the second amendment.,reinforce
742,"President Trump these demons r in a panic bc when you come back into office they will be exposed and punished for their treason/sedition against America, you n We The People! Hurry back, We r sinking n fast!!!❤️🙏💕👍🏻🇺🇸",reinforce
